name,cuisine_type,calories,protein,carbs,fat,diet_tags,description,embed_status,image_url
Bone Broth From 'Nom Nom Paleo',american,55,5.22,1.29,3.2,"[""paleo""]","Nước dùng xương hầm kỹ, giàu dinh dưỡng và mang vị thanh tao tự nhiên.",pending,https://your-domain.com/images/default-meal.png
"Paleo Effect Asian-Glazed Pork Sides, A Sweet & Crispy Appetizer",south east asian,2156,181.55,28.62,146.14,"[""paleo""]","Thịt heo áp chảo sốt kiểu Á giòn rụm, thấm đẫm vị ngọt thanh hấp dẫn.",pending,https://your-domain.com/images/default-meal.png
Paleo Pumpkin Pie,american,2205,30.91,302.59,96.76,"[""paleo""]","Bánh bí ngô nướng thơm nồng hương quế, cốt bánh mềm mịn tan ngay trong miệng.",pending,https://your-domain.com/images/default-meal.png
"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'",chinese,1020,39.84,54.08,71.55,"[""paleo""]","Cơm súp lơ xào kiểu Á giòn ngọt, nhẹ bụng và đầy màu sắc tươi mới.",pending,https://your-domain.com/images/default-meal.png
Autoimmune Paleo Pesto,italian,730,4.25,14.15,72.9,"[""paleo""]","Sốt Pesto thảo mộc tươi mát, đậm đà hương vị Ý truyền thống và rất bổ dưỡng.",pending,https://your-domain.com/images/default-meal.png
Baked Banana Chip Encrusted French Toast,french,11582,152.88,1874.52,385.8,"[""paleo""]","Bánh mì nướng kiểu Pháp phủ vụn chuối giòn tan, thơm béo hương bơ tự nhiên.",pending,https://your-domain.com/images/default-meal.png
Vietnamese Pho Pressure Cooker (Noodle Soup),south east asian,7111,602.91,274.87,400.01,"[""paleo""]","Phở bò truyền thống nấu bằng nồi áp suất, nước dùng đậm đà và thịt mềm mọng.",pending,https://your-domain.com/images/default-meal.png
Paleo Collard Burrito,mexican,999,44.62,28.66,78.46,"[""paleo""]","Burrito cuốn lá cải xanh tươi mát, nhân thịt đậm đà chuẩn vị Mexico lành mạnh.",pending,https://your-domain.com/images/default-meal.png
Paleo Pumpkin Waffles,american,1269,51.24,89.63,78.38,"[""paleo""]","Bánh waffle bí ngô nướng vàng ruộm, thơm mùi gia vị ấm áp cho bữa sáng.",pending,https://your-domain.com/images/default-meal.png
Fudgy Paleo Brownies,french,2899,64.29,263.65,176.36,"[""paleo""]","Bánh brownie socola đậm đặc, mềm dẻo và ngọt ngào khó cưỡng cho tín đồ hảo ngọt.",pending,https://your-domain.com/images/default-meal.png
