id,uuid,name,description,description_source,category_id,category_name,muscles_primary,muscles_secondary,equipment_list,image_url,image_thumbnail_url,is_front_image,wger_variations,embed_status,created_at,updated_at
9,1b020b3a-3732-4c7e-92fd-a0cec90ed69b,2 Handed Kettlebell Swing,"Starting Position: Stand with feet shoulder-width apart, holding a kettlebell with both hands. Hinge at the hips, keeping your back straight and the kettlebell between your legs.
Execution: Explosively drive your hips forward to swing the kettlebell up to chest height. Allow the kettlebell to swing back down between your legs as you hinge at the hips again.
Tips: The movement is powered by your hips, not your arms. Maintain a neutral spine and keep your core engaged.",gpt_generated,10,Abs,"[""Gluteus maximus"", ""Hamstrings""]","[""Rectus abdominis"", ""Latissimus dorsi"", ""Anterior deltoid""]","[""Kettlebell""]",,,1,47.0,pending,2026-03-29 04:49:38,2026-03-30 01:12:46
12,53906cd1-61f1-4d56-ac60-e4fcc5824861,Seated Hip Adduction,Starting Position: Sit on the machine with your knees inward and against the pads. Pull the pin to release the pads. Grab the handles on the sides.b,wger,9,Legs,"[""Quadriceps femoris""]",[],"[""Machine""]",https://wger.de/media/exercise-images/12/4a42cc6f-648d-40cc-a72a-c49dd47e1667.webp,https://wger.de/media/exercise-images/12/4a42cc6f-648d-40cc-a72a-c49dd47e1667.webp,1,207.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
20,f24cb758-9c0d-42d4-ad9e-6025c527dd13,Arnold Shoulder Press,"Starting Position: Sit or stand with dumbbells held at shoulder height, palms facing your body. Keep your elbows tucked in close to your torso.
Execution: Press the dumbbells overhead while rotating your palms to face forward. At the top, your arms should be fully extended but not locked out.
Tips: Control the descent, rotating your palms back to the starting position. Avoid arching your back by keeping your core tight.",gpt_generated,13,Shoulders,"[""Anterior deltoid""]","[""Triceps brachii""]","[""Dumbbell""]",,,1,5.0,pending,2026-03-29 04:44:52,2026-03-30 01:12:46
31,f2733700-aa5d-4df7-bc52-1876ab4fb479,Axe Hold,"Starting Position: Stand with feet shoulder-width apart. Hold one end of a dumbbell vertically with both hands at chest height, keeping your elbows close to your body.
Execution: Maintain a rigid torso and upright posture. Hold the position for the desired duration without moving.
Tips: Keep your back straight and core braced. Focus on steady, controlled breathing throughout the isometric hold.",gpt_generated,8,Arms,"[""Biceps brachii"", ""Anterior deltoid""]","[""Rectus abdominis""]","[""Dumbbell""]",,,1,,pending,2026-03-29 04:44:52,2026-03-30 01:12:46
41,a6bced3c-72f5-42a3-9438-5569d46f49fd,Barbell Ab Rollout,"Place a barbell on the floor at your feet. Bending at the waist, grip the barbell with a shoulder with overhand grip. With a slow controlled motion, roll the bar out so that your back is straight. Roll back up raising your hips and butt as you return to the starting position.",wger,10,Abs,"[""Rectus abdominis""]","[""Latissimus dorsi"", ""Anterior deltoid""]","[""Barbell""]",,,1,,pending,2026-03-29 04:44:52,2026-03-29 04:44:52
43,dae6f6ed-9408-4e62-a59a-1a33f4e8ab36,Barbell Hack Squats,"Starting Position: Stand with feet shoulder-width apart, holding a barbell behind your body with an overhand grip. Keep your back straight and chest up.
Execution: Lower your body by bending your knees and hips as if sitting in a chair. Go as low as you can while maintaining form. Push through your heels to return to the starting position.
Tips: Keep your head up and back straight. Do not let your knees travel past your toes.",gpt_generated,9,Legs,"[""Quadriceps femoris""]","[""Gluteus maximus"", ""Hamstrings"", ""Gastrocnemius""]","[""Barbell""]",,,1,12.0,pending,2026-03-29 04:44:52,2026-03-30 01:12:46
46,04e7d7e4-f8d2-406d-97df-3df3bceec22c,Barbell Lunges Standing,"Put barbell on the back of your shoulders. Stand upright, then take the first step forward. Step should bring you forward so that your supporting legs knee can touch the floor. Then stand back up and repeat with the other leg. Remember to keep good posture.",wger,9,Legs,"[""Quadriceps femoris"", ""Gluteus maximus""]","[""Hamstrings"", ""Gastrocnemius""]","[""Barbell""]",,,1,13.0,pending,2026-03-29 04:44:52,2026-03-29 04:44:52
48,67c26c9b-32f3-4b8b-b13a-4d8be4803975,Barbell Reverse Wrist Curl,"Sitting on a bench, grab a barbell with your palms facing down and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees. Curl your knuckles towards your face, lifting the barbell. Pause for a moment in the top position, then slowly return the barbell to the starting position.",wger,8,Arms,"[""Biceps brachii""]",[],"[""Barbell"", ""Bench""]",,,1,42.0,pending,2026-03-29 04:44:52,2026-03-29 04:44:52
50,13234b53-ea0c-41f1-9069-776865ea8eff,Barbell Triceps Extension,Position barbell overhead with narrow overhand grip. Lower forearm behind upper arm with elbows remaining overhead. Extend forearm overhead. Lower and repeat.,wger,8,Arms,"[""Triceps brachii""]",[],"[""Barbell""]",https://wger.de/media/exercise-images/50/69b519d8-4861-4bb1-b504-3887aa30e7d8.png,https://wger.de/media/exercise-images/50/69b519d8-4861-4bb1-b504-3887aa30e7d8.png,0,17.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:44
51,cfb6a754-57be-431b-b8d0-d9963120bd5a,Barbell Wrist Curl,"Sitting on a bench, grab a barbell with your palms facing up and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees. Perform the movement by curling your palms and wrists towards your face. Pause for a moment in the top position, then slowly return the barbell to the starting position.",wger,8,Arms,"[""Biceps brachii""]",[],"[""Barbell"", ""Bench""]",https://wger.de/media/exercise-images/51/f1730f56-7aca-4566-8338-3e42b1bee6e1.webp,https://wger.de/media/exercise-images/51/f1730f56-7aca-4566-8338-3e42b1bee6e1.webp,1,42.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
56,03db11cc-8079-463c-9399-6f346b100ce6,Abdominal Stabilization,"Starting Position: Lie on your back with knees bent and feet flat on the floor. Place your arms at your sides or across your chest.
Execution: Engage your abdominal muscles to press your lower back into the floor. Hold this position while breathing normally.
Tips: Focus on isolating the deep core muscles. Avoid holding your breath or arching your back.",gpt_generated,10,Abs,"[""Rectus abdominis""]",[],"[""Bodyweight""]",,,1,210.0,pending,2026-03-29 04:44:52,2026-03-30 01:12:46
57,b7267f90-8706-442b-b918-507e16092b8e,Bear Walk 2,"-Rest your weight on your palms and the balls of your feet, not dissimilar to normal pushup position -Move by stepping with your R palm and L foot, then your L palm and R foot. Basically, walk like a lumbering bear. -Move as fast as you can. Measure your reps/sets in either distance (i.e. 40 yards) or time (i.e. 45 seconds) -Works your Pecs, Deltoids, Triceps, Traps, Lats, Abs and Lower Back, Hip Flexors, Quads, Glutes and Calves",wger,11,Chest,"[""Pectoralis major"", ""Anterior deltoid"", ""Triceps brachii""]","[""Rectus abdominis"", ""Latissimus dorsi"", ""Quadriceps femoris"", ""Gluteus maximus"", ""Gastrocnemius""]","[""Bodyweight""]",,,1,204.0,pending,2026-03-29 04:44:52,2026-03-29 04:44:52
71,046fce45-69f2-46f7-a5b6-79a25a485af1,Single Leg Extension,"Starting Position: Sit on a leg extension machine with your back against the pad and your shins under the padded lever. Adjust the machine so the pad rests on your lower shins.
Execution: Extend one leg, straightening your knee until your leg is fully extended. Hold for a moment, then slowly lower back to the starting position.
Tips: Keep your upper body still. Control the movement, especially during the eccentric (lowering) phase.",gpt_generated,9,Legs,"[""Quadriceps femoris""]",[],"[""Machine""]",,,1,25.0,pending,2026-03-29 04:44:52,2026-03-30 01:12:46
73,3717d144-7815-4a97-9a56-956fb889c996,Bench Press,"Lay down on a bench, the bar should be directly above your eyes, the knees are somewhat angled and the feet are firmly on the floor. Concentrate, breath deeply and grab the bar more than shoulder wide. Bring it slowly down till it briefly touches your chest at the height of your nipples. Push the bar up. If you train with a high weight it is advisable to have a spotter that can help you up if you can't lift the weight on your own. With the width of the grip you can also control which part of the chest is trained more: wide grip: outer chest muscles narrow grip: inner chest muscles and triceps",wger,11,Chest,"[""Pectoralis major""]","[""Triceps brachii"", ""Anterior deltoid""]","[""Barbell"", ""Bench""]",https://wger.de/media/exercise-images/192/Bench-press-2.png,https://wger.de/media/exercise-images/192/Bench-press-2.png,0,7.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
75,28321cf3-70e6-48a4-ade1-d11382180cb3,Benchpress Dumbbells,"The movement is very similar to benchpressing with a barbell, however, the weight is brought down to the chest at a lower point. Hold two dumbbells and lay down on a bench. Hold the weights next to the chest, at the height of your nipples and press them up till the arms are stretched. Let the weight slowly and controlled down.",wger,11,Chest,"[""Pectoralis major""]","[""Triceps brachii"", ""Anterior deltoid""]","[""Dumbbell"", ""Bench""]",https://wger.de/media/exercise-images/97/Dumbbell-bench-press-2.png,https://wger.de/media/exercise-images/97/Dumbbell-bench-press-2.png,0,7.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
